ID,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Revision
237067,10,11,Edson Arantes Nascimento,96,94,95,92,95,60,80,94,94,96,97,94,93,95,92,96,90,88,95,87,88,95,93,92,97,96,97,67,95,56,52,50,88,87,80,70,CAM,4,5,Right,173cm / 5'8',70kg / 154lb,ST,,Brazil,Icons,EA FC ICONS,"Technical+, Quick Step+, Finesse Shot, Power Shot, Incisive Pass, Long Ball Pass, First Touch, Trickster, Relentless",https://www.futbin.com/25/player/56755/edson-arantes-nascimento,,,,,,TOTY Icon
209331,11,12,Mohamed Salah,96,96,94,91,96,57,84,97,96,96,96,92,92,91,90,93,90,78,94,88,92,96,96,96,98,94,96,70,76,47,55,52,87,96,81,75,RW,4,5,Left,175cm / 5'8',72kg / 159lb,"RM, ST",32,Egypt,Premier League,Liverpool,"Finesse Shot+, Rapid+, Trickster+, Chip Shot, Flair, First Touch, Trivela",https://www.futbin.com/25/player/56765/mohamed-salah,,,,,,TOTY
231747,12,13,Kylian Mbappé,96,99,95,86,97,43,85,99,99,97,98,94,90,89,88,88,85,74,91,80,85,98,97,90,97,97,93,45,87,31,41,38,95,95,84,70,ST,4,5,Right,"182cm / 6'0""",75kg / 165lb,LW,26,France,LALIGA EA SPORTS,Real Madrid,"Rapid+, Power Shot+, Trivela+, Finesse Shot, Chip Shot, Flair, Trickster, Quick Step, Acrobatic",https://www.futbin.com/25/player/56766/kylian-mbappe,,,,,,TOTY
265249,13,14,Lauren James,96,98,91,90,97,51,93,98,98,92,92,95,90,80,79,91,99,82,87,87,91,99,92,90,92,99,90,51,84,38,55,48,96,90,99,82,RW,4,5,Right,"175cm / 5'9""",77kg / 170lb,"RM, CAM",23,England,Barclays WSL,Chelsea,"Technical+, Trickster+, Press Proven+, Long Ball Pass, Whipped Pass, Rapid, Flair, First Touch, Quick Step",https://www.futbin.com/25/player/56767/lauren-james,,,,,,TOTY
227323,14,15,Guro Reiten,96,96,91,94,94,70,75,96,96,97,93,92,92,70,78,95,99,88,93,91,85,92,99,97,96,93,96,76,58,70,70,65,80,97,67,68,LM,5,4,Left,"167cm / 5'6""",60kg / 132lb,"CAM, LW",30,Norway,Barclays WSL,Chelsea,"Finesse Shot+, Pinged Pass+, Trivela+, Dead Ball, Incisive Pass, Whipped Pass, Rapid, Quick Step, Relentless",https://www.futbin.com/25/player/56778/guro-reiten,,,,,,TOTY
227203,15,16,Alexia Putellas Segura,96,88,95,96,97,80,86,87,88,95,96,92,94,95,95,96,94,95,96,96,95,96,95,94,96,98,98,86,82,67,90,70,91,91,87,75,CM,5,5,Left,"173cm / 5'8""",69kg / 152lb,CAM,31,Spain,Liga F,FC Barcelona,"Finesse Shot+, First Touch+, Incisive Pass+, Pinged Pass, Tiki Taka, Intercept, Technical, Flair",https://www.futbin.com/25/player/56780/alexia-putellas-segura,,,,,,TOTY
203376,16,17,Virgil van Dijk,96,87,67,80,78,96,95,83,91,52,58,90,71,50,69,80,60,78,88,95,70,75,70,70,93,82,95,95,94,97,98,95,96,85,99,97,CB,3,3,Right,"193cm / 6'4""",92kg / 203lb,,33,Netherlands,Premier League,Liverpool,"Block+, Aerial+, Intercept+, Power Header, Pinged Pass, Long Ball Pass, Jockey, Anticipate, Bruiser",https://www.futbin.com/25/player/56783/virgil-van-dijk,,,,,,TOTY
190045,17,18,Johan Cruyff,96,93,94,93,96,45,78,94,92,96,96,88,93,96,90,96,88,86,95,90,95,96,94,86,96,97,95,46,67,45,37,41,70,85,76,74,CAM,5,5,Right,"180cm / 5'11""",71kg / 157lb,ST,,Netherlands,Icons,EA FC ICONS,"Finesse Shot+, First Touch+, Chip Shot, Incisive Pass, Tiki Taka, Flair, Trickster, Trivela",https://www.futbin.com/25/player/57173/johan-cruyff,,,,,,Future Stars Icon
190042,18,19,Diego Maradona,96,92,92,92,97,42,80,94,90,93,95,87,92,88,94,96,90,94,91,90,96,98,91,96,94,97,96,46,70,30,42,40,84,81,80,80,CAM,5,5,Left,165cm / 5'4',70kg / 154lb,ST,,Argentina,Icons,EA FC ICONS,"Finesse Shot+, Technical+, Dead Ball, Incisive Pass, Pinged Pass, Tiki Taka, Flair, First Touch, Quick Step, Relentless",https://www.futbin.com/25/player/57524/diego-maradona,,,,,,GrassrootGreatsIcon
37576,19,20,Ronaldo Luís Nazário de Lima,96,96,96,81,96,45,80,97,96,97,99,95,90,97,90,82,74,90,86,75,87,98,91,90,96,96,91,42,88,38,42,37,84,86,88,53,ST,5,5,Right,183cm / 6'0',78kg / 172lb,,,Brazil,Icons,EA FC ICONS,"Finesse Shot+, Rapid+, Low Driven Shot+, Tiki Taka, Technical, First Touch, Trickster, Press Proven, Quick Step",https://www.futbin.com/25/player/59322/ronaldo-luis-nazario-de-lima,,,,,,FUT Immortals Icon
168473,20,21,Franz Beckenbauer,96,87,77,93,88,97,90,88,86,78,74,78,83,72,70,94,80,86,99,98,81,83,87,84,95,94,92,98,93,98,96,94,99,94,88,86,CB,4,3,Right,181cm / 5'11',75kg / 165lb,"CDM, CM",,Germany,Icons,EA FC ICONS,"Long Ball Pass+, Jockey+, Anticipate+, Incisive Pass, Pinged Pass, Block, Intercept, Bruiser, Technical, Trivela, Aerial",https://www.futbin.com/25/player/59324/beckenbauer,,,,,,FUT Immortals Icon
275243,21,22,Mia Hamm,96,95,96,90,94,58,84,96,94,96,96,97,95,92,91,90,81,94,94,90,89,95,90,92,96,94,92,58,90,48,58,55,86,93,85,71,ST,5,5,Right,"165cm / 5'5""",57kg / 126lb,"CAM, RW",,United States,Icons,EA FC ICONS,"Power Shot+, Press Proven+, Quick Step+, Finesse Shot, Chip Shot, Power Header, Incisive Pass, Rapid, Flair, First Touch, Relentless",https://www.futbin.com/25/player/59428/mia-hamm,,,,,,FUT Immortals Icon
242519,22,23,Eusébio da Silva Ferreira,96,95,96,90,96,50,84,94,95,97,96,96,97,96,96,91,90,91,90,87,87,99,97,95,97,92,97,44,98,47,44,39,93,95,80,80,ST,5,4,Right,"175cm / 5'9""",76kg / 168lb,,,Portugal,Icons,EA FC ICONS,"Finesse Shot+, Rapid+, Trivela+, Chip Shot, Power Shot, Tiki Taka, Quick Step, Relentless, Low Driven Shot",https://www.futbin.com/25/player/59429/eusebio-da-silva-ferreira,,,,,,FUT Immortals Icon
156616,23,24,Franck Ribéry,96,96,92,94,97,53,80,97,95,92,92,90,96,95,89,96,92,93,96,92,92,97,96,95,93,98,92,52,66,54,50,44,62,96,76,75,LM,5,5,Right,"170cm / 5'7""",72kg / 159lb,"CAM, LW",,France,Icons,EA FC ICONS,"Finesse Shot+, Technical+, Quick Step+, Relentless+, Chip Shot, Dead Ball, Incisive Pass, Tiki Taka, Whipped Pass, Flair, Trickster, Trivela",https://www.futbin.com/25/player/59491/franck-ribery,,,,,,FUT Immortals Icon
237067,24,25,Edson Arantes Nascimento,95,93,94,91,94,58,74,93,93,95,96,93,92,94,91,95,88,87,94,86,87,94,92,91,96,95,96,65,92,54,50,47,86,85,74,57,CAM,4,5,Right,"173cm / 5'8""",70kg / 154lb,ST,,Brazil,Icons,EA FC ICONS,"Technical+, Finesse Shot, Power Shot, Incisive Pass, Trickster, Quick Step",https://www.futbin.com/25/player/54471/edson-arantes-nascimento,,,,,,Icon
239818,25,26,Rúben Santos Gato Alves Dias,95,91,44,75,75,95,90,88,93,44,33,83,29,36,51,69,58,51,91,87,49,70,67,61,97,82,93,93,93,96,96,93,91,81,93,91,CB,4,2,Right,"187cm / 6'2""",82kg / 181lb,,27,Portugal,Premier League,Manchester City,"Bruiser+, Power Header, Long Ball Pass, Jockey, Block, Intercept, Anticipate, Slide Tackle",https://www.futbin.com/25/player/55807/ruben-santos-gato-alves-dias,,,,,,League Player
231747,26,27,Kylian Mbappé,95,98,93,89,94,42,81,98,98,96,97,93,86,87,87,91,85,75,95,80,88,95,95,84,95,94,90,44,85,30,40,37,91,91,80,67,ST,4,5,Right,182cm / 5'11',75kg / 165lb,LW,26,France,LALIGA EA SPORTS,Real Madrid,"Quick Step+, Finesse Shot, Chip Shot, Rapid, Flair, Trivela, Acrobatic",https://www.futbin.com/25/player/55808/kylian-mbappe,,,,,,League Player
252371,27,28,Jude Bellingham,95,91,92,95,93,86,87,92,91,96,95,90,91,81,82,98,85,88,98,98,90,94,87,83,96,94,92,90,83,85,87,85,88,97,81,89,CAM,5,4,Right,"186cm / 6'1""",75kg / 165lb,CM,21,England,LALIGA EA SPORTS,Real Madrid,"Pinged Pass+, Long Ball Pass, Whipped Pass, Intercept, Slide Tackle, Technical, Flair, Press Proven, Relentless",https://www.futbin.com/25/player/55809/jude-bellingham,,,,,,League Player
238794,28,29,Vinícius José de Oliveira Júnior,95,97,90,89,95,40,75,97,97,93,95,87,89,78,76,93,90,68,91,85,87,97,98,88,90,94,87,36,69,44,34,25,80,91,71,63,LW,4,5,Right,"176cm / 5'9""",73kg / 161lb,"LM, ST",24,Brazil,LALIGA EA SPORTS,Real Madrid,"Rapid+, Finesse Shot, Chip Shot, Flair, First Touch, Trickster, Quick Step, Trivela",https://www.futbin.com/25/player/55810/vinicius-jose-de-oliveira-junior,,,,,,League Player
243715,29,30,William Saliba,95,93,46,78,78,95,88,90,96,51,41,71,28,41,56,69,65,39,94,87,61,78,56,48,91,86,90,94,86,96,97,94,95,76,92,90,CB,4,2,Right,"193cm / 6'4""",85kg / 187lb,,24,France,Premier League,Arsenal,"Anticipate+, Whipped Pass, Jockey, Block, Intercept, Slide Tackle, Relentless",https://www.futbin.com/25/player/55811/william-saliba,,,,,,League Player
277643,30,31,Lamine Yamal,95,93,94,93,95,40,80,95,92,97,95,97,99,61,86,94,99,80,97,80,97,97,97,86,92,95,80,31,58,40,35,50,92,95,75,70,RW,4,5,Left,"180cm / 5'11""",65kg / 143lb,"RM, LW",17,Spain,LALIGA EA SPORTS,FC Barcelona,"Technical+, Finesse Shot, Long Ball Pass, Tiki Taka, Flair, Press Proven, Quick Step",https://www.futbin.com/25/player/55812/lamine-yamal,,,,,,League Player
239085,31,32,Erling Haaland,95,93,95,92,92,50,95,88,97,99,99,97,86,93,93,97,84,82,96,87,95,90,87,82,97,95,97,48,92,42,52,32,97,92,96,97,ST,4,4,Left,"195cm / 6'5""",94kg / 207lb,,24,Norway,Premier League,Manchester City,"Rapid+, Chip Shot, Power Shot, Power Header, Bruiser, Press Proven, Trivela, Acrobatic",https://www.futbin.com/25/player/55813/erling-haaland,,,,,,League Player
265249,32,33,Lauren James,95,95,94,95,93,51,91,98,92,96,96,97,92,87,86,98,97,90,92,93,98,98,81,82,82,96,81,50,82,38,54,47,99,84,99,76,RW,4,5,Right,"175cm / 5'9""",77kg / 170lb,"RM, CAM",23,England,Barclays WSL,Chelsea,"Power Shot+, Finesse Shot, Long Ball Pass, Whipped Pass, Rapid, Flair, First Touch, Trickster, Press Proven, Quick Step, Relentless",https://www.futbin.com/25/player/55814/lauren-james,,,,,,League Player
202126,33,34,Harry Kane,95,90,95,90,92,53,92,90,90,96,97,96,91,91,95,92,86,75,91,94,88,92,81,81,97,97,97,45,97,50,50,40,98,84,96,90,ST,5,4,Right,"188cm / 6'2""",86kg / 190lb,,31,England,Bundesliga,FC Bayern München,"Finesse Shot+, Chip Shot, Power Shot, Power Header, Incisive Pass, Pinged Pass, Long Ball Pass, First Touch, Trivela",https://www.futbin.com/25/player/55815/harry-kane,,,,,,League Player
227102,34,35,Caroline Graham Hansen,95,92,92,92,95,54,85,93,91,92,91,93,94,88,84,93,94,81,93,88,96,98,97,80,88,95,89,40,82,52,57,53,94,97,83,74,RW,5,5,Right,175cm / 5'8',59kg / 130lb,RM,30,Norway,Liga F,FC Barcelona,"Quick Step+, Finesse Shot, Long Ball Pass, First Touch, Flair, Technical, Trickster, Trivela",https://www.futbin.com/25/player/55816/caroline-graham-hansen,,,,,,League Player
266928,35,36,Trinity Rodman,95,97,92,91,91,50,90,96,97,92,94,92,90,80,85,93,92,80,95,82,83,90,94,90,90,91,87,48,80,44,50,45,94,98,88,86,RM,5,4,Right,"173cm / 5'8""",60kg / 132lb,"RW, ST",22,United States,NWSL,Washington Spirit,"Whipped Pass+, Finesse Shot, Rapid, Flair, Trickster, Quick Step, Relentless, Trivela",https://www.futbin.com/25/player/55817/trinity-rodman,,,,,,League Player
246272,36,37,Marie Katoto,95,92,95,91,91,42,92,95,90,99,98,92,91,98,90,93,84,85,99,83,84,91,91,80,90,94,92,28,96,40,37,32,99,97,99,64,ST,5,4,Right,"177cm / 5'10""",66kg / 146lb,,26,France,D1 Arkema,Paris SG,"Aerial+, Chip Shot, Power Shot, Power Header, Technical, Press Proven, Quick Step, Trivela",https://www.futbin.com/25/player/55818/marie-katoto,,,,,,League Player
247788,37,38,Giulia Gwinn,95,91,80,91,92,95,84,93,90,99,75,84,79,85,80,84,97,46,97,96,92,95,95,88,91,90,83,94,91,97,96,94,98,98,76,84,RB,4,4,Right,"172cm / 5'8""",58kg / 128lb,LB,25,Germany,GPFBL,FC Bayern München,"Intercept+, Long Ball Pass, Whipped Pass, Jockey, Anticipate, Bruiser, Rapid, First Touch, Relentless, Long Throw",https://www.futbin.com/25/player/55819/giulia-gwinn,,,,,,League Player
264012,38,39,Sophia Wilson,95,95,95,86,92,50,90,94,95,98,98,95,91,93,86,81,80,78,96,82,81,92,88,90,92,94,83,48,87,46,47,42,99,99,91,73,ST,5,4,Right,"164cm / 5'5""",58kg / 128lb,"RM, RW",24,United States,NWSL,Portland Timbers-Thorns,"Trickster+, Finesse Shot, Chip Shot, Power Header, Technical, Flair, First Touch, Quick Step",https://www.futbin.com/25/player/55820/sophia-wilson,,,,,,League Player
231478,39,40,Lautaro Martínez,95,91,95,80,92,60,88,93,90,99,99,94,86,99,81,84,73,70,84,78,85,90,93,96,96,93,92,53,95,61,57,49,96,86,88,90,ST,5,4,Right,"174cm / 5'9""",72kg / 159lb,,27,Argentina,Serie A TIM,Lombardia FC,"Finesse Shot+, Power Shot, Technical, Press Proven, Quick Step, Relentless, Aerial",https://www.futbin.com/25/player/55821/lautaro-martinez,,,,,,League Player
231432,40,41,Lindsey Horan,95,93,90,92,93,81,91,95,92,93,90,92,90,90,80,94,85,92,96,96,73,94,89,81,96,95,92,90,99,76,78,66,98,95,95,74,CM,5,4,Right,"175cm / 5'9""",67kg / 148lb,CAM,30,United States,D1 Arkema,OL,"Incisive Pass+, Finesse Shot, Power Shot, Dead Ball, Pinged Pass, Long Ball Pass, Tiki Taka, Whipped Pass, Acrobatic, Aerial",https://www.futbin.com/25/player/55822/lindsey-horan,,,,,,League Player
274753,41,42,Tarciane Karen dos Santos de Lima,95,90,52,77,78,95,90,90,90,67,50,48,53,33,76,50,84,41,88,88,74,72,75,70,88,87,74,96,94,95,96,92,90,89,90,93,CB,3,2,Right,"183cm / 6'0""",68kg / 150lb,,21,Brazil,NWSL,Houston Dash,"Aerial+, Jockey, Intercept, Anticipate, Slide Tackle",https://www.futbin.com/25/player/55823/tarciane-karen-dos-santos-de-lima,,,,,,League Player
269404,42,43,Salma Celeste Paralluelo Ayingono,95,95,92,92,94,50,85,94,95,86,95,95,88,90,82,95,87,85,95,91,98,95,98,83,86,95,90,46,82,47,47,44,98,86,94,58,LW,5,4,Left,"175cm / 5'9""",68kg / 150lb,"LM, ST",21,Spain,Liga F,FC Barcelona,"Finesse Shot+, Tiki Taka, Technical, First Touch, Press Proven, Quick Step",https://www.futbin.com/25/player/55824/salma-celeste-paralluelo-ayingono,,,,,,League Player
37576,43,44,Ronaldo Luís Nazário de Lima,95,95,95,80,95,44,76,96,95,96,98,94,89,96,89,81,73,89,85,74,86,97,90,84,95,95,90,41,85,37,41,36,80,82,84,47,ST,5,5,Right,183cm / 6'0',78kg / 172lb,,,Brazil,Icons,EA FC ICONS,"Trickster+, Quick Step+, Finesse Shot, First Touch, Technical",https://www.futbin.com/25/player/56371/ronaldo-luis-nazario-de-lima,,,,,,Winter Wildcard ICON
257534,44,45,Cole Palmer,95,90,93,95,97,60,80,90,90,96,95,91,91,76,97,96,90,85,98,94,97,98,90,90,94,98,97,62,74,54,64,48,86,93,75,75,CAM,4,5,Left,189cm / 6'2',74kg / 163lb,"RM, RW",22,England,Premier League,Chelsea,"Dead Ball+, Finesse Shot+, Technical+, Incisive Pass, Whipped Pass, First Touch, Flair, Relentless",https://www.futbin.com/25/player/56781/cole-palmer,,,,,,TOTY
233662,45,46,Sakina Karchaoui,95,97,75,91,95,92,80,98,97,93,63,86,86,67,80,84,98,75,95,90,90,96,97,95,91,95,95,96,74,92,96,92,85,96,68,88,LB,4,5,Left,"160cm / 5'3""",55kg / 121lb,LM,29,France,D1 Arkema,Paris SG,"Relentless+, Whipped Pass+, Jockey+, Block, Intercept, Anticipate, Technical, Quick Step",https://www.futbin.com/25/player/56785/sakina-karchaoui,,,,,,TOTY
227316,46,47,Wendie Renard,95,86,73,80,78,98,93,86,86,77,70,88,66,61,74,75,64,63,90,90,75,75,70,70,96,80,94,97,99,99,99,88,86,80,98,96,CB,3,3,Right,"187cm / 6'2""",70kg / 154lb,CDM,34,France,D1 Arkema,OL,"Long Ball Pass+, Aerial+, Anticipate+, Power Header, Jockey, Block, Slide Tackle, Bruiser",https://www.futbin.com/25/player/56786/wendie-renard,,,,,,TOTY
243715,47,48,William Saliba,95,90,47,80,83,95,93,88,91,52,42,72,28,42,58,80,66,40,92,86,65,81,70,70,92,90,93,94,86,96,99,93,95,85,96,93,CB,4,2,Right,"193cm / 6'4""",85kg / 187lb,,24,France,Premier League,Arsenal,"Relentless+, Anticipate+, Slide Tackle+, Jockey, Block, Intercept, Bruiser, Acrobatic, Aerial",https://www.futbin.com/25/player/56787/william-saliba,,,,,,TOTY
204963,48,49,Daniel Carvajal Ramos,95,94,78,87,92,95,87,93,94,86,80,83,70,71,61,86,90,51,92,83,82,90,90,90,95,94,92,95,90,93,97,95,93,94,80,94,RB,4,4,Right,"173cm / 5'8""",73kg / 161lb,,33,Spain,LALIGA EA SPORTS,Real Madrid,"Press Proven+, Long Ball Pass+, Jockey+, Whipped Pass, Block, Intercept, Technical, First Touch, Relentless",https://www.futbin.com/25/player/56788/daniel-carvajal-ramos,,,,,,TOTY
242519,49,50,Eusébio da Silva Ferreira,95,94,95,88,95,48,82,93,94,96,95,95,96,95,95,90,88,90,88,86,85,98,96,94,96,91,96,43,94,45,43,37,87,92,78,78,ST,5,4,Right,"175cm / 5'9""",76kg / 168lb,,,Portugal,Icons,EA FC ICONS,"Rapid+, Power Shot+, Finesse Shot, Chip Shot, Tiki Taka, Quick Step, Relentless",https://www.futbin.com/25/player/56792/eusebio-da-silva-ferreira,,,,,,TOTY Icon
239085,50,51,Erling Haaland,95,92,96,77,88,50,92,85,98,99,99,98,87,94,94,82,64,68,84,73,86,87,88,87,99,88,94,47,90,42,51,33,96,83,97,92,ST,4,4,Left,"195cm / 6'5""",94kg / 207lb,,24,Norway,Premier League,Manchester City,"Power Shot+, Acrobatic+, Finesse Shot, Chip Shot, Power Header, Bruiser, Press Proven",https://www.futbin.com/25/player/57095/erling-haaland,,,,,,TOTY Honourable Ment
246219,51,52,Khadija Shaw,95,90,95,85,90,41,94,91,90,98,98,97,93,85,83,90,75,66,90,87,75,90,80,80,94,95,95,34,99,30,40,28,98,93,98,85,ST,5,4,Right,"180cm / 5'11""",70kg / 154lb,,28,Jamaica,Barclays WSL,Manchester City,"Finesse Shot+, Press Proven+, Aerial+, Power Shot, Incisive Pass, Technical, First Touch, Quick Step, Trivela",https://www.futbin.com/25/player/57108/khadija-shaw,,,,,,TOTY
20801,52,53,C. Ronaldo dos Santos Aveiro,95,91,96,88,92,42,90,91,91,97,96,96,94,91,98,90,88,87,90,84,88,90,86,86,96,95,99,37,97,30,41,31,99,93,93,77,ST,4,5,Right,"187cm / 6'2""",85kg / 187lb,LW,40,Portugal,ROSHN Saudi League,Al Nassr,"Power Shot+, Quick Step+, Acrobatic+, Power Header, Technical, Flair, Trickster, Trivela, Aerial",https://www.futbin.com/25/player/57109/c-ronaldo-dos-santos-aveiro,,,,,,TOTY
256675,53,54,Omar Marmoush,95,98,92,89,95,48,86,96,99,94,94,92,90,88,82,92,82,80,97,82,82,95,99,93,93,93,93,50,92,39,44,34,96,92,82,86,CAM,5,5,Right,"183cm / 6'0""",81kg / 179lb,"ST, LW",26,Egypt,Premier League,Manchester City,"Technical+, Power Shot+, Finesse Shot, Power Header, Incisive Pass, Tiki Taka, Rapid, Trickster, Quick Step, Relentless",https://www.futbin.com/25/player/57779/omar-marmoush,,,,,,Fantasy FC
247635,54,55,Khvicha Kvaratskhelia,95,95,90,90,99,52,85,94,95,92,91,91,92,77,77,93,87,74,93,85,92,99,99,99,99,99,99,51,78,48,50,43,89,88,86,77,LW,5,5,Right,"183cm / 6'0""",70kg / 154lb,"LM, RW",24,Georgia,Ligue 1 Uber Eats,Paris SG,"Finesse Shot+, Trickster+, Power Shot, Incisive Pass, Technical, Rapid, Flair, First Touch, Quick Step, Trivela",https://www.futbin.com/25/player/57782/khvicha-kvaratskhelia,,,,,,Fantasy FC
190042,55,56,Diego Maradona,95,90,91,91,96,40,77,92,88,92,94,86,91,87,93,95,88,93,90,89,95,97,90,95,93,96,95,45,67,28,41,38,82,78,75,77,CAM,3,5,Left,165cm / 5'4',70kg / 154lb,ST,,Argentina,Icons,EA FC ICONS,"Technical+, Finesse Shot, Dead Ball, Incisive Pass, Tiki Taka, Flair, First Touch",https://www.futbin.com/25/player/57801/diego-maradona,,,,,,Icon
